ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Availability
9780073398174,Thermodynamics: An Engineering Approach,Yunus A. Cengel & Michael A. Boles,2014,McGraw‑Hill,https://covers.openlibrary.org/b/isbn/9780073398174-S.jpg,https://covers.openlibrary.org/b/isbn/9780073398174-M.jpg,https://covers.openlibrary.org/b/isbn/9780073398174-L.jpg,https://www.amazon.com/Thermodynamics-Engineering-Yunus-Cengel-Dr/dp/0073398179
9780073398204,Shigley’s Mechanical Engineering Design,Joseph E. Shigley & Charles R. Mischke,2014,McGraw‑Hill,https://covers.openlibrary.org/b/isbn/9780073398204-S.jpg,https://covers.openlibrary.org/b/isbn/9780073398204-M.jpg,https://covers.openlibrary.org/b/isbn/9780073398204-L.jpg,https://www.amazon.com/Shigleys-Mechanical-Engineering-Design-McGraw-Hill/dp/0073398209
9780070681526,Basic Electrical Engineering,D. P. Kothari & I. J. Nagrath,2010,Tata McGraw‑Hill,https://covers.openlibrary.org/b/isbn/9780070681526-S.jpg,https://covers.openlibrary.org/b/isbn/9780070681526-M.jpg,https://covers.openlibrary.org/b/isbn/9780070681526-L.jpg,https://www.clankart.com/books/Electrical-Engineering-books-for-BTech-students?7721730728387737=&utm_source=chatgpt.com
9780133125855,"Power Electronics: Circuits, Devices and Applications",Muhammad H. Rashid,2013,Pearson,https://covers.openlibrary.org/b/isbn/9780133125855-S.jpg,https://covers.openlibrary.org/b/isbn/9780133125855-M.jpg,https://covers.openlibrary.org/b/isbn/9780133125855-L.jpg,https://www.abebooks.com/book-search/title/power-electronics-circuits-devices-applications/author/muhammad-h-rashid/?utm_source=chatgpt.com
9788131709274,Engineering Chemistry,Sunita Rattan,2001,Pearson,https://covers.openlibrary.org/b/isbn/9788131709274-S.jpg,https://covers.openlibrary.org/b/isbn/9788131709274-M.jpg,https://covers.openlibrary.org/b/isbn/9788131709274-L.jpg,https://www.amazon.com/Textbook-Engineering-Chemistry-Sunita-Rattan/dp/9350146800?utm_source=chatgpt.com
9780061120084,To Kill a Mockingbird,Harper Lee,1960,J.B. Lippincott & Co.,https://covers.openlibrary.org/b/isbn/9780061120084-S.jpg,https://covers.openlibrary.org/b/isbn/9780061120084-M.jpg,https://covers.openlibrary.org/b/isbn/9780061120084-L.jpg,https://www.amazon.in/dp/0061120081
9780747532743,Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,Bloomsbury,https://covers.openlibrary.org/b/isbn/9780747532743-S.jpg,https://covers.openlibrary.org/b/isbn/9780747532743-M.jpg,https://covers.openlibrary.org/b/isbn/9780747532743-L.jpg,https://www.amazon.in/dp/0747532745
9781451673319,Fahrenheit 451,Ray Bradbury,1953,Ballantine Books,https://covers.openlibrary.org/b/isbn/9781451673319-S.jpg,https://covers.openlibrary.org/b/isbn/9781451673319-M.jpg,https://covers.openlibrary.org/b/isbn/9781451673319-L.jpg,https://www.amazon.in/dp/1451673310
9780062315007,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,Harper,https://covers.openlibrary.org/b/isbn/9780062315007-S.jpg,https://covers.openlibrary.org/b/isbn/9780062315007-M.jpg,https://covers.openlibrary.org/b/isbn/9780062315007-L.jpg,https://www.amazon.in/dp/0062315005
9780307277671,The Road,Cormac McCarthy,2006,Alfred A. Knopf,https://covers.openlibrary.org/b/isbn/9780307277671-S.jpg,https://covers.openlibrary.org/b/isbn/9780307277671-M.jpg,https://covers.openlibrary.org/b/isbn/9780307277671-L.jpg,https://www.amazon.in/dp/0307277679
9780307949486,"Thinking, Fast and Slow",Daniel Kahneman,2011,"Farrar, Straus and Giroux",https://covers.openlibrary.org/b/isbn/9780307949486-S.jpg,https://covers.openlibrary.org/b/isbn/9780307949486-M.jpg,https://covers.openlibrary.org/b/isbn/9780307949486-L.jpg,https://www.amazon.in/dp/0307949486
9781501124020,It Ends with Us,Colleen Hoover,2016,Atria Books,https://covers.openlibrary.org/b/isbn/9781501124020-S.jpg,https://covers.openlibrary.org/b/isbn/9781501124020-M.jpg,https://covers.openlibrary.org/b/isbn/9781501124020-L.jpg,https://www.amazon.in/dp/1501124021
9780140449136,The Odyssey,Homer,-800,Penguin Classics,https://covers.openlibrary.org/b/isbn/9780140449136-S.jpg,https://covers.openlibrary.org/b/isbn/9780140449136-M.jpg,https://covers.openlibrary.org/b/isbn/9780140449136-L.jpg,https://www.amazon.in/dp/0140449132
9780262033848,Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein",2009,MIT Press,https://covers.openlibrary.org/b/isbn/9780262033848-S.jpg,https://covers.openlibrary.org/b/isbn/9780262033848-M.jpg,https://covers.openlibrary.org/b/isbn/9780262033848-L.jpg,https://www.amazon.in/dp/0262033844
9780590353427,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1998,Scholastic,https://covers.openlibrary.org/b/isbn/9780590353427-S.jpg,https://covers.openlibrary.org/b/isbn/9780590353427-M.jpg,https://covers.openlibrary.org/b/isbn/9780590353427-L.jpg,https://www.amazon.in/dp/059035342X
9780385472579,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,1974,William Morrow & Company,https://covers.openlibrary.org/b/isbn/9780385472579-S.jpg,https://covers.openlibrary.org/b/isbn/9780385472579-M.jpg,https://covers.openlibrary.org/b/isbn/9780385472579-L.jpg,https://www.amazon.in/dp/0385472579
9780307474278,The Girl with the Dragon Tattoo,Stieg Larsson,2005,Norstedts Förlag,https://covers.openlibrary.org/b/isbn/9780307474278-S.jpg,https://covers.openlibrary.org/b/isbn/9780307474278-M.jpg,https://covers.openlibrary.org/b/isbn/9780307474278-L.jpg,https://www.amazon.in/dp/0307474275
9780142437230,Moby-Dick,Herman Melville,1851,Penguin Classics,https://covers.openlibrary.org/b/isbn/9780142437230-S.jpg,https://covers.openlibrary.org/b/isbn/9780142437230-M.jpg,https://covers.openlibrary.org/b/isbn/9780142437230-L.jpg,https://www.amazon.in/dp/0142437230
9780140283334,The Alchemist,Paulo Coelho,1988,HarperOne,https://covers.openlibrary.org/b/isbn/9780140283334-S.jpg,https://covers.openlibrary.org/b/isbn/9780140283334-M.jpg,https://covers.openlibrary.org/b/isbn/9780140283334-L.jpg,https://www.amazon.in/dp/0061122416
9780451524935,1984,George Orwell,1949,Signet Classics,https://covers.openlibrary.org/b/isbn/9780451524935-S.jpg,https://covers.openlibrary.org/b/isbn/9780451524935-M.jpg,https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg,https://www.amazon.in/dp/0451524934
9780141182575,Brave New World,Aldous Huxley,1932,Harper Perennial,https://covers.openlibrary.org/b/isbn/9780141182575-S.jpg,https://covers.openlibrary.org/b/isbn/9780141182575-M.jpg,https://covers.openlibrary.org/b/isbn/9780141182575-L.jpg,https://www.amazon.in/dp/0060850523
9780307387899,The Kite Runner,Khaled Hosseini,2003,Riverhead Books,https://covers.openlibrary.org/b/isbn/9780307387899-S.jpg,https://covers.openlibrary.org/b/isbn/9780307387899-M.jpg,https://covers.openlibrary.org/b/isbn/9780307387899-L.jpg,https://www.amazon.in/dp/0307387895
9780143038412,The Art of War,Sun Tzu,-500,Penguin Classics,https://covers.openlibrary.org/b/isbn/9780143038412-S.jpg,https://covers.openlibrary.org/b/isbn/9780143038412-M.jpg,https://covers.openlibrary.org/b/isbn/9780143038412-L.jpg,https://www.amazon.in/dp/0143038419
9780261103573,The Lord of the Rings,J.R.R. Tolkien,1954,Allen & Unwin,https://covers.openlibrary.org/b/isbn/9780261103573-S.jpg,https://covers.openlibrary.org/b/isbn/9780261103573-M.jpg,https://covers.openlibrary.org/b/isbn/9780261103573-L.jpg,https://www.amazon.in/dp/0261103571
9780553296983,Dune,Frank Herbert,1965,Chilton Books,https://covers.openlibrary.org/b/isbn/9780553296983-S.jpg,https://covers.openlibrary.org/b/isbn/9780553296983-M.jpg,https://covers.openlibrary.org/b/isbn/9780553296983-L.jpg,https://www.amazon.in/dp/0553296981
9780133591620,Operating System Concepts,"Abraham Silberschatz, Peter B. Galvin, Greg Gagne",2018,Wiley,https://covers.openlibrary.org/b/isbn/9780133591620-S.jpg,https://covers.openlibrary.org/b/isbn/9780133591620-M.jpg,https://covers.openlibrary.org/b/isbn/9780133591620-L.jpg,https://www.amazon.in/dp/013359162X
9780073523323,Database System Concepts,"Abraham Silberschatz, Henry F. Korth, S. Sudarshan",2010,McGraw-Hill,https://covers.openlibrary.org/b/isbn/9780073523323-S.jpg,https://covers.openlibrary.org/b/isbn/9780073523323-M.jpg,https://covers.openlibrary.org/b/isbn/9780073523323-L.jpg,https://www.amazon.in/dp/0073523321
9780132350884,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,2008,Prentice Hall,https://covers.openlibrary.org/b/isbn/9780132350884-S.jpg,https://covers.openlibrary.org/b/isbn/9780132350884-M.jpg,https://covers.openlibrary.org/b/isbn/9780132350884-L.jpg,https://www.amazon.in/dp/0132350882
9781119491441,Electrical Engineering: Principles and Applications,Allan R. Hambley,2019,Pearson,https://covers.openlibrary.org/b/isbn/9781119491441-S.jpg,https://covers.openlibrary.org/b/isbn/9781119491441-M.jpg,https://covers.openlibrary.org/b/isbn/9781119491441-L.jpg,https://www.amazon.in/dp/1119491440
9780133125900,Digital Design,"M. Morris Mano, Michael D. Ciletti",2017,Pearson,https://covers.openlibrary.org/b/isbn/9780133125900-S.jpg,https://covers.openlibrary.org/b/isbn/9780133125900-M.jpg,https://covers.openlibrary.org/b/isbn/9780133125900-L.jpg,https://www.amazon.in/dp/0133125904
9780073380575,Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",2014,Oxford University Press,https://covers.openlibrary.org/b/isbn/9780073380575-S.jpg,https://covers.openlibrary.org/b/isbn/9780073380575-M.jpg,https://covers.openlibrary.org/b/isbn/9780073380575-L.jpg,https://www.amazon.in/dp/0073380573
9788120345925,Engineering Thermodynamics,P.K. Nag,2013,McGraw-Hill Education,https://covers.openlibrary.org/b/isbn/9788120345925-S.jpg,https://covers.openlibrary.org/b/isbn/9788120345925-M.jpg,https://covers.openlibrary.org/b/isbn/9788120345925-L.jpg,https://www.amazon.in/dp/812034592X
9788121926178,Theory of Machines,S.S. Rattan,2014,McGraw-Hill Education,https://covers.openlibrary.org/b/isbn/9788121926178-S.jpg,https://covers.openlibrary.org/b/isbn/9788121926178-M.jpg,https://covers.openlibrary.org/b/isbn/9788121926178-L.jpg,https://www.amazon.in/dp/812192617X
9788177583960,Strength of Materials,R.K. Bansal,2010,Laxmi Publications,https://covers.openlibrary.org/b/isbn/9788177583960-S.jpg,https://covers.openlibrary.org/b/isbn/9788177583960-M.jpg,https://covers.openlibrary.org/b/isbn/9788177583960-L.jpg,https://www.amazon.in/dp/8177583969
9788121908839,Surveying Vol. 1,"B.C. Punmia, Ashok Kumar Jain, Arun Kumar Jain",2005,Laxmi Publications,https://covers.openlibrary.org/b/isbn/9788121908839-S.jpg,https://covers.openlibrary.org/b/isbn/9788121908839-M.jpg,https://covers.openlibrary.org/b/isbn/9788121908839-L.jpg,https://www.amazon.in/dp/8121908836
9788121900048,Soil Mechanics and Foundations,"B.C. Punmia, Ashok Kumar Jain, Arun Kumar Jain",2005,Laxmi Publications,https://covers.openlibrary.org/b/isbn/9788121900048-S.jpg,https://covers.openlibrary.org/b/isbn/9788121900048-M.jpg,https://covers.openlibrary.org/b/isbn/9788121900048-L.jpg,https://www.amazon.in/dp/8121900045
9788131806696,Building Construction,"B.C. Punmia, Ashok Kumar Jain, Arun Kumar Jain",2010,Laxmi Publications,https://covers.openlibrary.org/b/isbn/9788131806696-S.jpg,https://covers.openlibrary.org/b/isbn/9788131806696-M.jpg,https://covers.openlibrary.org/b/isbn/9788131806696-L.jpg,https://www.amazon.in/dp/8131806690
9780133356038,Electronic Devices and Circuit Theory,"Robert L. Boylestad, Louis Nashelsky",2015,Pearson,https://covers.openlibrary.org/b/isbn/9780133356038-S.jpg,https://covers.openlibrary.org/b/isbn/9780133356038-M.jpg,https://covers.openlibrary.org/b/isbn/9780133356038-L.jpg,https://www.amazon.in/dp/0133356035
9789332550084,Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky",2015,Pearson,https://covers.openlibrary.org/b/isbn/9789332550084-S.jpg,https://covers.openlibrary.org/b/isbn/9789332550084-M.jpg,https://covers.openlibrary.org/b/isbn/9789332550084-L.jpg,https://www.amazon.in/dp/9332550086
9788122430766,Control Systems Engineering,"I.J. Nagrath, M. Gopal",2008,New Age International,https://covers.openlibrary.org/b/isbn/9788122430766-S.jpg,https://covers.openlibrary.org/b/isbn/9788122430766-M.jpg,https://covers.openlibrary.org/b/isbn/9788122430766-L.jpg,https://www.amazon.in/dp/8122430764
9780073397894,Elements of Chemical Reaction Engineering,H. Scott Fogler,2016,Prentice Hall,https://covers.openlibrary.org/b/isbn/9780073397894-S.jpg,https://covers.openlibrary.org/b/isbn/9780073397894-M.jpg,https://covers.openlibrary.org/b/isbn/9780073397894-L.jpg,https://www.amazon.in/dp/007339789X
9780070666153,Chemical Engineering Thermodynamics,Y.V.C. Rao,1997,Universities Press,https://covers.openlibrary.org/b/isbn/9780070666153-S.jpg,https://covers.openlibrary.org/b/isbn/9780070666153-M.jpg,https://covers.openlibrary.org/b/isbn/9780070666153-L.jpg,https://www.amazon.in/dp/0070666156
9781259062766,Transport Processes and Separation Process Principles,Christie J. Geankoplis,2013,Prentice Hall,https://covers.openlibrary.org/b/isbn/9781259062766-S.jpg,https://covers.openlibrary.org/b/isbn/9781259062766-M.jpg,https://covers.openlibrary.org/b/isbn/9781259062766-L.jpg,https://www.amazon.in/dp/1259062763
9789332550152,Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",2015,Oxford University Press,https://covers.openlibrary.org/b/isbn/9789332550152-S.jpg,https://covers.openlibrary.org/b/isbn/9789332550152-M.jpg,https://covers.openlibrary.org/b/isbn/9789332550152-L.jpg,https://www.amazon.in/dp/9332550159
9789332573908,Electronic Devices and Circuit Theory,"Robert L. Boylestad, Louis Nashelsky",2015,Pearson,https://covers.openlibrary.org/b/isbn/9789332573908-S.jpg,https://covers.openlibrary.org/b/isbn/9789332573908-M.jpg,https://covers.openlibrary.org/b/isbn/9789332573908-L.jpg,https://www.amazon.in/dp/9332573905
9789332585475,Integrated Electronics: Analog and Digital Circuits and Systems,"Jacob Millman, Christos C. Halkias, Chetan D. Parikh",2017,McGraw-Hill Education,https://covers.openlibrary.org/b/isbn/9789332585475-S.jpg,https://covers.openlibrary.org/b/isbn/9789332585475-M.jpg,https://covers.openlibrary.org/b/isbn/9789332585475-L.jpg,https://www.amazon.in/dp/9332585476
9789332552194,Digital Signal Processing,"John G. Proakis, Dimitris G. Manolakis",2013,Pearson,https://covers.openlibrary.org/b/isbn/9789332552194-S.jpg,https://covers.openlibrary.org/b/isbn/9789332552194-M.jpg,https://covers.openlibrary.org/b/isbn/9789332552194-L.jpg,https://www.amazon.in/dp/9332552195
